Title,Price,Bedrooms,Bathrooms,Longitude,Latitude
"Zurich, District 5 Escher Wyss",5326,2,2,8.5101746,47.391406
"Zurich, District 6 Unterstrass",3544,1,1,8.543127700000001,47.3866968
"Zurich, District 7 Fluntern",6583,3,2,8.556485799999997,47.3840998
"Zurich, District 8 Mühlebach",6511,2,2,8.5527619,47.3645607
"Zurich, District 8 Weinegg",3317,1,1,8.5572384,47.3661789
"Zurich, District 3 Wiedikon",5769,3,2,8.5203628,47.3713017
"Zurich, District 3 Wiedikon",4976,3,1,8.5108416,47.3700748
"Zurich, District 3 Wiedikon",1896,0,1,8.514229799999999,47.3755316
"Zurich, District 8 Weinegg",3111,1,1,8.557332599999999,47.3662404
"Zurich, District 9 Altstetten",2349,0,1,8.4739635,47.3907199
"Zurich, Horgen",3358,2,1,8.5825971,47.2655186
"Istanbul, Mecidiyeköy",841,1,2,28.996653100000003,41.0759582
"Zurich, Zollikon",3760,1,1,8.5813107,47.3415143
"Zurich, District 8 Weinegg",3997,2,1,8.560155500000002,47.36151479999999
"Zurich, District 8 Weinegg",6284,3,1,8.559407900000002,47.36386349999999
"Zurich, District 8 Weinegg",3482,1,1,8.5572384,47.3661789
"Zurich, District 9 Altstetten",3657,2,1,8.4739635,47.3907199
"Zurich, District 9 Altstetten",3606,2,1,8.4938127,47.38531769999999
"Zurich, District 9 Altstetten",3863,2,1,8.4739635,47.3907199
"Zurich, Horgen",2565,1,1,8.6021419,47.259224
"Zurich, Horgen",2781,1,1,8.6021419,47.259224
"Zurich, Opfikon",5048,3,2,8.561298,47.4214887
"Zurich, District 3 Wiedikon",2102,0,1,8.514229799999999,47.3755316
"Zurich, District 3 Wiedikon",2112,0,1,8.514229799999999,47.3755316
"Zurich, District 3 Wiedikon",2163,0,1,8.514229799999999,47.3755316
"Zurich, District 3 Wiedikon",1988,0,1,8.514229799999999,47.3755316
"Zurich, District 3 Wiedikon",2050,0,1,8.514229799999999,47.3755316
"Zurich, District 3 Wiedikon",2112,0,1,8.514229799999999,47.3755316
"Zurich, District 3 Wiedikon",2019,0,1,8.514229799999999,47.3755316
"Istanbul, Gayrettepe",1601,1,2,29.00953890290225,41.062567698048134
"Portimao, Alvor Portimão",780,1,1,,
"Lagos, Meia Praia",1020,0,1,,
"Portimao, R. Eng. José De Bívar",960,2,2,,
"Portimao, Praia Da Rocha Portimão",1200,2,1,,
"Vilamoura,  Loulé",1800,3,2,,
"Silves,",1050,1,1,,
Tavira Apartment for rent,1020,2,2,,
Vila do Bispo House for rent,1560,2,2,,
"Portimao, Praia Da Rocha",550,0,1,,
"Lagos,",900,2,1,,
"Portimao, Praia Da Rocha",550,0,1,,
"Portimao, Praia Da Rocha Portimão",820,0,1,,
"Loule, Quarteira",1200,2,2,,
"Vilamoura,",1080,1,1,,
"Lagos, Meia-Praia",1800,2,2,,
"Vilamoura,  Loulé",960,2,2,,
Albufeira Apartment for rent,540,0,1,,
Alhaurin el Grande Country-House for rent,2300,5,1,,
Athens Apartment for rent,3500,3,1,,
Athens Apartment for rent,6500,3,1,,
Paphos House for rent,2500,3,2,,
Paphos Apartment for rent,1200,2,1,,
"thessaloniki, Nea Paralia, Thessaloniki - Cen",480,0,1,22.95296464973753,40.6155835182759
"thessaloniki, Nea Paralia, Thessaloniki - Cen",500,2,1,22.95395030185242,40.613294257307494
"thessaloniki, Martiou, Thessaloniki - Center",750,2,1,22.95198049895019,40.60034678660429
Durres Apartment for rent,350,2,2,,
Durres Apartment for rent,220,2,2,,
Durres Commercial for rent,250,0,1,,
Durres Commercial for rent,11000,0,1,,
Durres Apartment for rent,300,2,1,,
Durres Apartment for rent,210,2,1,,
Durres Apartment for rent,330,1,1,,
"Tirana, Rruga E Dibres - Selvia",1000,0,1,19.823771,41.334832
"Tirana, Kodra E Diellit",210,1,1,19.7997747,41.3079195
Tirana Apartment for rent,550,2,2,19.8034331,41.3258217
Frenaros House for rent,925,3,1,,
Germasogeia Commercial for rent,40000,0,1,,
Germasogeia Apartment for rent,6300,3,3,,
Limassol Apartment for rent,12500,3,4,,
Katholiki Apartment for rent,3300,2,2,,
"Budapest, Andrássy Ave. Penthouse With Terrac",1500,1,1,19.072,47.5106
"Budapest, Falk Miksa Street",1700,3,1,19.0488,47.5116
"Budapest, Andrássy Ave. Penthouse With 2 Terr",2500,2,1,19.072,47.5106
"Budapest, Andrássy Ave. Penthouse With 2 Terr",2500,2,1,19.072,47.5106
"Budapest, Andrássy Ave. Penthouse With Terrac",1500,1,1,19.072,47.5106
"Akrotiri, Kalorrouma",30000,0,1,24.146196430782474,35.54835174499585
"Barcelona, Antiga Esquerra de l'Eixample",2040,2,1,2.1531376,41.3859135
"Athens, Chalandri",1410,2,1,23.813255300000037,38.0266767
"Athens, Cholargos",1220,2,1,23.8039732,38.0058762
"Athens, Marousi",2160,4,2,23.804817400000047,38.03253040000001
"Athens, Cholargos",1120,1,1,23.79801519999999,37.99904190000001
"Athens, Neo Psychiko",1450,2,1,23.7787955,38.0064644
"London, Covent Garden",5306,2,1,-0.1261343,51.5135681
"London, Charing cross",3924,1,1,-0.1238886,51.5082409
