"
date","social payments
","buy a car
","Unemployment
","food
","mexico
","fitness club
","vacation
","netflix
","depression
","doctor
","fox news
","sex
","iphone
","find job
","food near me
","insurance
","education
","restaurants around
","petrol price
","rent flat
","children names
","amazon
","good restaurants
","diet
","credit cards
","USA
","travel
","IT
","bitcoin
","anton
","alcohol
","best films
","books
","imagine dragons
","stocks
","harry potter
","online courses
","wedding dress
","clothes
","cheap clothes
","order food
","delivery
","food delivery
","paid jobs
","best banks
","Standford
","Excel
","Facebook
","Trump
","Elon Musk
","car
","loans
","cats
","dogs
","tinder
","bbc
","late night show
","presents
","recipies
","dairy
","walmart
","best songs
","McDonald's
","buy food
","Starbucks
","Taco Bell
","Wendy's
","a
","data science
","news
","booking
","order online
","beauty salon
","GDP
","Inflation
"
2004-01-01,13,47,5.7,41,63,100,86,5,80,32,9,76,0,95,0,90,97,15,0,68,59,10,15,100,85,63,100,22,0,17,45,95,96,0,31,13,65,22,82,35,22,14,15,36,23,68,53,0,2,0,74,13,46,39,1,63,22,27,93,18,8,35,18,29,13,9,9,31,11,39,33,16,57,11923.447,2.035500
2004-02-01,20,44,5.6,40,65,79,83,4,100,30,9,77,0,86,0,86,100,13,34,54,37,8,12,73,79,59,95,22,0,20,47,81,85,0,28,10,60,18,78,42,13,14,13,35,13,91,59,0,1,0,71,13,42,39,2,56,17,34,83,20,8,32,18,27,13,8,9,32,10,39,32,18,55,11923.447,2.210000
2004-03-01,19,48,5.8,38,63,74,75,5,93,32,10,71,0,97,0,85,95,19,0,72,72,8,9,63,73,60,92,23,0,17,50,46,85,2,25,12,61,19,90,34,19,12,11,28,26,88,60,0,2,0,72,14,40,38,1,61,0,29,76,21,8,28,22,26,13,9,9,32,10,37,28,15,47,11923.447,2.271739
2004-04-01,9,56,5.6,40,59,72,71,5,97,31,10,72,0,99,0,82,99,16,0,100,47,9,11,67,82,64,89,24,0,18,54,49,83,0,25,13,60,24,74,38,16,14,12,43,11,81,59,0,3,0,77,15,41,38,1,63,36,29,76,25,8,31,22,30,13,9,10,33,10,40,31,14,58,12112.815,2.373810
2004-05-01,5,54,5.6,41,67,66,83,5,85,32,11,79,0,92,0,84,89,13,26,66,64,9,10,74,82,58,94,24,0,15,44,42,81,0,22,24,66,21,79,38,16,14,13,40,27,68,51,0,1,0,79,15,39,39,1,62,25,34,83,24,9,37,22,27,13,9,9,31,5,39,29,17,57,12112.815,2.512500
2004-06-01,12,45,5.6,34,58,82,95,5,62,35,12,82,0,96,0,96,81,16,0,51,48,10,8,66,90,66,100,20,0,14,39,48,80,0,20,37,62,20,69,44,19,14,12,35,23,75,59,0,1,0,81,16,37,39,1,60,32,30,73,24,9,38,19,32,16,9,9,29,6,37,34,19,52,12112.815,2.521905
2004-07-01,12,45,5.5,31,54,77,98,6,57,34,13,85,0,96,0,92,76,13,0,28,31,10,20,64,93,68,97,22,0,14,43,49,78,1,19,18,60,19,74,55,8,13,13,38,33,66,56,0,1,0,83,16,44,42,0,61,16,29,71,25,9,36,17,29,16,11,10,30,2,38,35,15,55,12305.307,2.397619
2004-08-01,6,36,5.4,32,52,84,75,5,57,34,13,81,0,97,0,100,81,20,0,37,44,11,18,53,100,78,91,21,0,15,42,55,89,0,20,13,67,20,80,50,16,14,13,35,26,69,63,0,1,0,77,15,39,40,0,59,14,29,66,23,10,36,16,28,15,10,10,29,9,41,34,18,56,12305.307,2.351364
2004-09-01,10,41,5.4,36,59,64,55,5,78,27,15,77,0,83,0,89,93,13,0,34,43,11,14,54,86,67,78,23,0,15,44,50,89,0,21,11,55,19,81,40,18,15,13,38,22,100,56,0,1,0,71,15,40,40,1,59,18,29,68,21,10,34,16,36,16,10,9,33,7,47,32,16,52,12305.307,2.252381
2004-10-01,9,42,5.5,39,58,64,54,6,77,31,17,80,0,80,0,85,90,19,14,34,60,10,15,51,81,62,75,24,0,20,48,50,85,0,22,11,51,17,89,46,20,14,13,33,38,66,61,0,1,0,71,12,39,39,0,67,31,34,80,21,10,38,23,27,17,10,9,34,5,42,27,15,56,12527.214,2.373000
2004-11-01,18,44,5.4,42,57,64,55,6,84,32,27,83,0,82,0,78,88,15,0,40,51,12,11,48,85,61,76,25,0,17,48,58,89,0,26,13,53,17,88,41,18,14,13,33,24,83,55,0,1,0,67,13,39,41,1,70,16,56,100,18,14,39,21,37,17,8,6,33,10,45,26,15,54,12527.214,2.621500
2004-12-01,18,43,5.4,41,56,62,64,7,73,32,11,86,0,82,0,77,70,20,0,36,60,16,10,42,83,59,78,24,0,15,41,68,100,0,28,15,46,15,100,36,33,15,15,27,20,79,52,1,1,0,69,12,40,40,1,59,15,89,100,16,18,44,16,32,18,10,8,32,5,37,28,16,50,12527.214,2.674545
