date;food;mexico;fitness club;vacation;buy a car;netflix;depression;doctor;fox news;sex;iphone;find job;food near me;insurance;education;restaurants around;petrol price;rent flat;children names;amazon;good restaurants;diet;credit cards;USA;travel;IT;unemployment benefits;alcohol;best films;books;imagine dragons;stocks;harry potter;social payments;online courses;wedding dress;clothes;cheap clothes;order food;delivery;food delivery;paid jobs;best banks;Stanford;Excel;Facebook;Trump;Elon Musk;buy car;loans;cats;dogs;tinder;bbc;late night show;presents;recipes;dairy;walmart;best songs;McDonald's;buy food;Starbucks;Taco Bell;Wendy's;news;booking;order online;beauty salon;GDP;Unemployment;Inflation
2004-01-01;41;63;100;87;47;5;80;32;9;76;0;95;0;90;97;15;0;68;59;10;15;100;86;63;100;22;6;45;95;96;0;31;13;13;65;22;82;35;22;14;15;35;23;89;53;0;2;0;62;13;46;39;1;63;21;27;82;18;8;35;18;29;13;9;9;39;33;16;57;11923.447;5.7;2.0355
2004-02-01;40;66;79;84;44;4;100;30;9;77;0;86;0;86;100;13;34;54;37;8;12;73;80;59;95;22;5;47;80;84;0;28;10;20;60;18;78;42;13;14;13;35;13;94;59;0;1;0;62;13;42;38;2;56;16;34;70;20;8;31;18;27;13;8;9;39;32;18;55;11923.447;5.6;2.21
2004-03-01;38;63;74;76;48;5;93;32;9;71;0;97;0;85;95;19;0;72;72;9;9;63;74;60;92;23;4;50;46;85;2;25;12;19;61;19;90;34;19;12;11;28;26;100;60;0;2;0;62;14;40;37;1;61;0;28;66;21;8;27;22;26;13;9;9;37;28;15;47;11923.447;5.8;2.2717391304347823
2004-04-01;40;59;72;72;56;5;97;31;10;72;0;99;0;83;100;15;0;100;47;9;11;67;83;64;89;24;4;54;50;83;0;25;13;9;60;24;74;38;16;14;12;43;11;90;59;0;3;0;67;15;41;38;1;63;36;29;64;25;8;31;23;30;13;9;10;40;31;14;58;12112.815;5.6;2.373809523809524
2004-05-01;41;67;66;84;55;5;85;32;11;79;0;92;0;85;90;13;26;66;65;9;10;74;83;59;95;24;4;44;42;82;0;22;25;5;66;21;80;38;16;14;13;40;27;96;51;0;1;0;68;15;39;39;1;63;24;34;67;24;9;36;22;27;13;9;9;40;29;17;57;12112.815;5.6;2.5125
2004-06-01;34;58;81;95;44;5;61;35;12;81;0;96;0;96;80;15;0;50;48;10;8;66;90;66;99;20;4;39;48;79;0;20;37;12;61;20;68;43;19;14;12;35;23;87;58;0;1;0;63;16;37;39;1;60;32;30;60;24;9;37;19;32;16;9;9;37;34;18;52;12112.815;5.6;2.5219047619047616
2004-07-01;31;55;77;100;45;6;58;34;13;85;0;97;0;93;77;13;0;28;31;10;20;65;94;69;98;22;4;43;49;79;1;19;19;12;61;19;74;56;8;13;13;38;34;80;56;0;1;0;66;16;44;42;0;62;16;29;65;26;9;36;17;29;16;11;10;39;35;15;55;12305.307;5.5;2.397619047619048
2004-08-01;32;52;83;76;36;5;57;34;13;80;0;97;0;100;81;19;0;37;44;11;18;53;100;77;91;21;4;41;55;88;0;20;13;6;66;20;80;49;16;14;13;34;26;80;62;0;1;0;56;15;38;39;0;59;14;29;61;23;10;36;16;28;15;10;10;41;34;18;55;12305.307;5.4;2.3513636363636365
2004-09-01;36;60;64;56;41;5;78;27;14;77;0;83;0;90;93;13;0;34;43;11;14;54;87;67;78;23;3;44;50;89;0;21;11;10;55;19;81;40;18;15;13;37;22;97;56;0;1;0;56;15;39;40;1;59;18;29;61;22;10;34;16;36;15;10;9;47;32;16;52;12305.307;5.4;2.2523809523809524
2004-10-01;38;59;64;54;42;6;77;31;17;80;0;80;0;85;90;19;14;34;60;10;14;51;81;62;75;24;3;48;50;85;0;22;11;9;51;17;89;46;20;14;13;33;38;88;61;0;1;0;49;12;39;38;0;68;31;34;72;21;10;38;23;27;17;10;9;42;27;15;56;12527.214;5.5;2.373
2004-11-01;42;58;65;56;45;6;85;33;27;84;0;83;0;80;90;15;0;40;52;13;11;49;87;62;77;25;4;49;58;90;0;26;14;18;53;17;90;41;18;15;13;33;24;94;56;0;1;0;58;13;39;41;1;71;16;57;96;19;14;39;22;37;17;8;6;46;26;15;55;12527.214;5.4;2.6215
